BOARD_MIG_R2_ROW,1,1,00000400,00000040,00000040,00000000,00000000,00000000,00000040,00000040,00000040,0000000F,00000000,0000060A,00000040
BOARD_MIG_R2_ROW,1,2,00000400,00000040,00000040,00000000,00000000,00000000,00000040,00000040,00000040,0000000F,00000000,000002E3,00000040
BOARD_MIG_R2_ROW,1,4,00000400,00000040,00000040,00000000,00000000,00000000,00000040,00000040,00000040,0000000F,00000000,0000017A,00000040
BOARD_MIG_R2_ROW,1,8,00000400,00000040,00000040,00000000,00000000,00000000,00000040,00000040,00000040,0000000F,00000000,000000C2,00000040
BOARD_MIG_R2_ROW,4,1,00000400,00000010,00000040,00000000,00000000,00000000,00000040,00000040,00000040,0000000F,00000000,00000184,00000040
BOARD_MIG_R2_ROW,4,2,00000400,00000010,00000040,00000000,00000000,00000000,00000040,00000040,00000040,0000000F,00000000,000000CC,00000040
BOARD_MIG_R2_ROW,4,4,00000400,00000010,00000040,00000000,00000000,00000000,00000040,00000040,00000040,0000000F,00000000,00000068,00000040
BOARD_MIG_R2_ROW,4,8,00000400,00000010,00000040,00000000,00000000,00000000,00000040,00000040,00000040,0000000F,00000000,00000050,00000040
BOARD_MIG_R2_ROW,8,1,00000400,00000008,00000040,00000000,00000000,00000000,00000040,00000040,00000040,00000007,00000000,000000CA,00000040
BOARD_MIG_R2_ROW,8,2,00000400,00000008,00000040,00000000,00000000,00000000,00000040,00000040,00000040,00000007,00000000,0000007C,00000040
BOARD_MIG_R2_ROW,8,4,00000400,00000008,00000040,00000000,00000000,00000000,00000040,00000040,00000040,00000007,00000000,00000050,00000040
BOARD_MIG_R2_ROW,8,8,00000400,00000008,00000040,00000000,00000000,00000000,00000040,00000040,00000040,00000007,00000000,00000064,00000040
BOARD_MIG_R2_ROW,10,1,00000400,00000004,00000040,00000000,00000000,00000000,00000040,00000040,00000040,00000003,00000000,00000070,00000040
BOARD_MIG_R2_ROW,10,2,00000400,00000004,00000040,00000000,00000000,00000000,00000040,00000040,00000040,00000003,00000000,0000004F,00000040
BOARD_MIG_R2_ROW,10,4,00000400,00000004,00000040,00000000,00000000,00000000,00000040,00000040,00000040,00000003,00000000,00000064,00000040
BOARD_MIG_R2_ROW,10,8,00000400,00000004,00000040,00000000,00000000,00000000,00000040,00000040,00000040,00000003,00000000,00000050,00000040
A7NG_MIG_BOARD_R2_OK
